countryisocode,year,xlong,ylat,lny,lns,lnngd,ltrade
"GBR",1956,-.18,51.49,10.00317,-2.004261,-2.907186,23.11317
"GRC",1956,23.65,38.12,9.309598,-1.815076,-2.855478,19.91256
"GTM",1956,-90.52,14.62,8.944189,-1.322331,-2.571325,20.1926
"HND",1956,-87.2,14.1,8.823646,-1.812485,-2.569802,19.76185
"IND",1956,77.22,28.57,7.415143,-1.837916,-2.775903,22.14383
"IRL",1956,-6.26,53.34,9.69471,-1.72112,-3.378857,19.89978
"ISR",1956,34.86,31.92,9.805619,-1.341571,-2.468178,19.51666
"ITA",1956,12.52,41.88,9.604104,-1.250984,-2.996868,22.07889
"JPN",1956,139.81,35.68,9.086577,-1.708824,-2.699774,21.6268
"KEN",1956,36.83,-1.17,7.853888,-1.569624,-2.572146,19.76991
"LKA",1956,80.09,7.02,7.302497,-1.140333,-2.581282,20.54639
"MAR",1956,-6.75,33.92,7.750387,-1.333471,-2.614299,20.28031
"MEX",1956,-99.13,19.43,9.734453,-1.413589,-2.620183,21.55195
"MUS",1956,59.57,-20.1,8.949943,-1.385832,-2.562268,18.46046
"NGA",1956,3.3,6.45,8.164255,-2.256829,-2.574844,21.09562
"NIC",1956,-86.27,12.15,9.088884,-1.728988,-2.588507,18.43842
"NLD",1956,4.89,52.37,10.38924,-1.543835,-2.963923,22.13456
"NOR",1956,10.72,59.93,10.21466,-1.089534,-2.974448,21.19035
"NZL",1956,175.14,-41.21,10.39295,-1.69058,-2.699042,20.30132
"PAK",1956,73.06,33.72,7.582477,-2.59423,-2.840769,20.53288
"PAN",1956,-79.4,8.95,8.713416,-1.689094,-2.661837,19.50208
"PER",1956,-76.82,-12.07,9.155829,-.7122813,-2.639563,20.79195
"PHL",1956,121.17,14.55,8.183701,-1.701164,-2.669232,21.31247
"PRT",1956,-9.13,38.73,9.128649,-1.825634,-2.983441,20.35877
"PRY",1956,-57.67,-25.22,8.387099,-2.645566,-2.681216,18.55551
"SLV",1956,-89.2,13.7,9.243015,-2.061576,-2.641142,19.36882
"SWE",1956,18.08,59.24,10.22143,-1.549704,-2.865245,21.51426
"THA",1956,100.55,13.75,7.325298,-1.792966,-2.571511,20.60608
"TTO",1956,-61.49,10.64,9.748585,-1.28686,-2.646888,19.04756
"TUR",1956,32.85,39.93,8.599912,-2.3641,-2.334158,19.88007
"UGA",1956,32.58,.32,7.309152,-2.413455,-2.576944,18.66246
"URY",1956,-56.17,-34.92,9.374107,-1.482744,-2.769072,19.30324
"USA",1956,-76.95,38.89,10.52889,-1.756809,-2.770573,23.58927
"VEN",1956,-66.9,10.5,10.06703,-.9501336,-2.472304,21.65133
"ZAF",1956,28.22,-25.73,9.47665,-1.573825,-2.672055,21.9007
"ZAR",1956,15.47,-4.39,7.580773,-1.170214,-2.651967,18.00376
"ARG",1957,-58.41,-34.67,9.515166,-1.661429,-2.778657,21.24932
"AUS",1957,149.04,-35.35,10.3972,-1.18033,-2.689694,21.34255
"AUT",1957,16.32,48.2,9.848347,-1.601286,-2.869298,21.19956
"BEL",1957,4.37,50.84,10.07014,-1.382159,-2.963097,22.15272
"BOL",1957,-68.15,-16.5,8.796227,-1.962414,-2.725394,19.81407
"BRA",1957,-47.9,-15.79,8.787679,-1.333465,-2.572871,21.32323
"CAN",1957,-75.65,45.37,10.46091,-1.587741,-2.424964,22.59437
"CHE",1957,7.45,46.95,10.52246,-1.428367,-2.580589,21.8784
"CHL",1957,-70.65,-33.48,9.236352,-1.141691,-2.725033,20.11034
"COL",1957,-74.08,4.63,9.164796,-1.592763,-2.647374,20.48014
"CRI",1957,-84.08,9.93,9.546893,-1.848509,-2.558731,18.85343
"DNK",1957,12.55,55.72,10.00131,-1.837605,-2.950268,20.88263
"DOM",1957,-69.91,18.5,8.800007,-1.725366,-2.637465,19.9523
"ECU",1957,-78.52,-.23,8.737712,-1.010325,-2.632894,19.65402
"EGY",1957,31.25,30.08,7.824354,-2.58024,-2.69648,21.28994
"ESP",1957,-3.69,40.44,9.558434,-1.51638,-2.735812,20.45736
"ETH",1957,38,9.03,6.621476,-2.243807,-2.615965,18.83424
"FIN",1957,24.98,60.2,9.675238,-1.228087,-2.715302,20.54808
"FRA",1957,2.43,48.88,9.944959,-1.621136,-2.899915,22.39694
"GBR",1957,-.18,51.49,10.01285,-1.970811,-2.923789,23.13834
"GRC",1957,23.65,38.12,9.37593,-1.767304,-2.897872,20.04089
"GTM",1957,-90.52,14.62,8.96701,-1.31411,-2.587145,20.2702
"HND",1957,-87.2,14.1,8.799924,-1.724079,-2.559127,19.79832
"IND",1957,77.22,28.57,7.406997,-1.917027,-2.779033,22.16652
"IRL",1957,-6.26,53.34,9.683718,-1.873607,-3.621522,19.92115
"ISR",1957,34.86,31.92,9.801784,-1.223489,-2.388769,19.55429
"ITA",1957,12.52,41.88,9.655091,-1.225544,-3.215812,22.25442
"JPN",1957,139.81,35.68,9.136573,-1.583668,-2.633211,21.82546
"KEN",1957,36.83,-1.17,7.871149,-1.646455,-2.528937,19.78105
"LKA",1957,80.09,7.02,7.313136,-1.26978,-2.574257,20.5804
"MAR",1957,-6.75,33.92,7.659867,-1.670969,-2.565182,20.27334
"MEX",1957,-99.13,19.43,9.789052,-1.420034,-2.611493,21.57655
"MUS",1957,59.57,-20.1,8.968554,-1.301748,-2.616689,18.5379
"NGA",1957,3.3,6.45,8.173838,-2.147168,-2.556155,21.04741
"NIC",1957,-86.27,12.15,9.129642,-1.808191,-2.589495,18.5385
"NLD",1957,4.89,52.37,10.399,-1.498869,-2.843268,22.18505
"NOR",1957,10.72,59.93,10.2534,-1.094079,-2.968845,21.22296
"NZL",1957,175.14,-41.21,10.42422,-1.662386,-2.656165,20.3379
"PAK",1957,73.06,33.72,7.578135,-2.395949,-2.811393,20.41705
"PAN",1957,-79.4,8.95,8.735059,-1.713961,-2.645332,19.65457
"PER",1957,-76.82,-12.07,9.163054,-.651454,-2.642605,20.87803
"PHL",1957,121.17,14.55,8.177997,-1.546299,-2.706043,21.36577
"PRT",1957,-9.13,38.73,9.174019,-1.648168,-2.809988,20.41318
"PRY",1957,-57.67,-25.22,8.414575,-2.133988,-2.685278,18.75631
"SLV",1957,-89.2,13.7,9.26868,-2.008089,-2.623197,19.42832
"SWE",1957,18.08,59.24,10.22603,-1.548998,-2.740466,21.58922
"THA",1957,100.55,13.75,7.4333,-1.64019,-2.573533,20.70131
"TTO",1957,-61.49,10.64,9.868942,-1.117653,-2.649127,19.15437
"TUR",1957,32.85,39.93,8.787274,-2.361911,-2.743261,20.00804
"UGA",1957,32.58,.32,7.332635,-2.663583,-2.607337,18.71053
"URY",1957,-56.17,-34.92,9.405948,-1.420884,-2.767861,19.28278
"USA",1957,-76.95,38.89,10.53943,-1.831211,-2.892335,23.64782
"VEN",1957,-66.9,10.5,10.13262,-.9842589,-2.470473,21.85027
"ZAF",1957,28.22,-25.73,9.505573,-1.561999,-2.656147,21.98024
"ZAR",1957,15.47,-4.39,7.558657,-1.213574,-2.646732,18.00361
"ARG",1958,-58.41,-34.67,9.570768,-1.647829,-2.782115,21.28693
"AUS",1958,149.04,-35.35,10.46381,-1.112697,-2.766366,21.41749
"AUT",1958,16.32,48.2,9.882131,-1.593249,-2.883934,21.19386
"BEL",1958,4.37,50.84,10.04995,-1.517781,-2.990244,22.13105
"BOL",1958,-68.15,-16.5,8.773841,-2.024729,-2.724684,19.59486
"BRA",1958,-47.9,-15.79,8.820752,-1.40647,-2.571283,21.26575
"CAN",1958,-75.65,45.37,10.45834,-1.707843,-2.639678,22.55035
"CHE",1958,7.45,46.95,10.48865,-1.661954,-3.134921,21.85406
"CHL",1958,-70.65,-33.48,9.261943,-1.168302,-2.706369,20.0974
"COL",1958,-74.08,4.63,9.149163,-1.743116,-2.635943,20.43298
"CRI",1958,-84.08,9.93,9.624685,-2.087963,-2.580731,18.91727
"DNK",1958,12.55,55.72,10.01833,-1.958025,-2.955792,20.95884
"DOM",1958,-69.91,18.5,8.828108,-1.718039,-2.636395,19.96172
"ECU",1958,-78.52,-.23,8.728217,-1.050249,-2.631864,19.65673
"EGY",1958,31.25,30.08,7.906716,-2.601353,-2.717435,21.32842
"ESP",1958,-3.69,40.44,9.585901,-1.461709,-2.693693,20.60709
"ETH",1958,38,9.03,6.668184,-1.768447,-2.703496,18.82882
"FIN",1958,24.98,60.2,9.655684,-1.257818,-2.728075,20.48953
"FRA",1958,2.43,48.88,9.967953,-1.562904,-3.043538,22.38354
"GBR",1958,-.18,51.49,10.02146,-2.001216,-3.114357,23.13542
"GRC",1958,23.65,38.12,9.414377,-1.657846,-2.839234,20.15207
"GTM",1958,-90.52,14.62,8.986284,-1.519339,-2.578404,20.2872
"HND",1958,-87.2,14.1,8.84488,-1.964221,-2.554139,19.81379
"IND",1958,77.22,28.57,7.459857,-1.972599,-2.764607,22.06734
"IRL",1958,-6.26,53.34,9.693789,-1.90063,-3.389349,19.97692
"ISR",1958,34.86,31.92,9.834792,-1.216847,-2.498873,19.67076
"ITA",1958,12.52,41.88,9.710587,-1.238272,-3.253685,22.33101
"JPN",1958,139.81,35.68,9.179183,-1.696006,-2.911352,21.74569
"KEN",1958,36.83,-1.17,7.849558,-1.821434,-2.573765,19.75646
"LKA",1958,80.09,7.02,7.351941,-1.216122,-2.578302,20.63045
"MAR",1958,-6.75,33.92,7.783183,-1.186631,-2.611142,20.30533
"MEX",1958,-99.13,19.43,9.80551,-1.533062,-2.60373,21.5776
"MUS",1958,59.57,-20.1,8.953938,-1.128982,-2.640032,18.55557
"NGA",1958,3.3,6.45,8.199064,-2.306859,-2.552593,21.1277
"NIC",1958,-86.27,12.15,9.102441,-1.839399,-2.589589,18.58417
"NLD",1958,4.89,52.37,10.35177,-1.680574,-2.843689,22.19769
"NOR",1958,10.72,59.93,10.27408,-1.071683,-3.08111,21.24902
"NZL",1958,175.14,-41.21,10.4074,-1.681149,-2.64039,20.34918
"PAK",1958,73.06,33.72,7.588774,-2.359221,-2.80359,20.37047
"PAN",1958,-79.4,8.95,8.683842,-1.552158,-2.755516,19.5933
"PER",1958,-76.82,-12.07,9.126421,-.7951536,-2.635537,20.79833
"PHL",1958,121.17,14.55,8.224522,-1.619951,-2.700204,21.26476
"PRT",1958,-9.13,38.73,9.167782,-1.68465,-2.797419,20.42741
"PRY",1958,-57.67,-25.22,8.451108,-2.197097,-2.717343,18.79969
"SLV",1958,-89.2,13.7,9.257292,-2.192817,-2.627344,19.38509
"SWE",1958,18.08,59.24,10.23447,-1.565396,-2.745246,21.60446
"THA",1958,100.55,13.75,7.426938,-1.627442,-2.579803,20.63402
"TTO",1958,-61.49,10.64,9.956834,-1.098487,-2.633117,19.29787
"TUR",1958,32.85,39.93,8.847986,-2.168888,-2.721831,20.30305
"UGA",1958,32.58,.32,7.263813,-2.586493,-2.606127,18.72202
"URY",1958,-56.17,-34.92,9.302882,-1.70206,-2.782795,19.07998
"USA",1958,-76.95,38.89,10.52138,-1.867418,-2.825281,23.60238
"VEN",1958,-66.9,10.5,10.11808,-1.005788,-2.479893,21.76304
"ZAF",1958,28.22,-25.73,9.49933,-1.525461,-2.670208,21.96477
"ZAR",1958,15.47,-4.39,7.478167,-1.343329,-2.641519,17.95516
"ARG",1959,-58.41,-34.67,9.503199,-1.683926,-2.7902,21.24194
"AUS",1959,149.04,-35.35,10.51321,-1.102006,-2.782084,21.55063
"AUT",1959,16.32,48.2,9.912811,-1.594232,-2.98366,21.30977
"BEL",1959,4.37,50.84,10.08986,-1.419409,-3.040928,22.21738
"BOL",1959,-68.15,-16.5,8.791325,-2.304555,-2.699756,19.86402
"BRA",1959,-47.9,-15.79,8.874072,-1.280026,-2.575257,21.43251
"CAN",1959,-75.65,45.37,10.47736,-1.684086,-2.706337,22.61787
"CHE",1959,7.45,46.95,10.57651,-1.514238,-3.025295,21.97952
"CHL",1959,-70.65,-33.48,9.223152,-1.237204,-2.697685,20.16586
"COL",1959,-74.08,4.63,9.190403,-1.753015,-2.645075,20.52679
"CRI",1959,-84.08,9.93,9.634052,-1.885638,-2.542586,18.93002
"DNK",1959,12.55,55.72,10.09108,-1.702215,-2.738945,21.07372
"DOM",1959,-69.91,18.5,8.873086,-2.078613,-2.655408,19.88502
"ECU",1959,-78.52,-.23,8.759945,-1.025147,-2.623127,19.73254
"EGY",1959,31.25,30.08,7.934886,-2.449661,-2.724759,21.44463
"ESP",1959,-3.69,40.44,9.563673,-1.664847,-3.200155,20.76666
"ETH",1959,38,9.03,6.660693,-2.221543,-2.803619,18.86137
"FIN",1959,24.98,60.2,9.762745,-1.214634,-4.053314,20.6486
"FRA",1959,2.43,48.88,9.989014,-1.605825,-3.046621,22.44274
"GBR",1959,-.18,51.49,10.05095,-1.940235,-2.923299,23.18048
"GRC",1959,23.65,38.12,9.445211,-1.590888,-2.869414,20.18022
"GTM",1959,-90.52,14.62,9.020848,-1.681345,-2.579092,20.34636
"HND",1959,-87.2,14.1,8.877865,-2.046567,-2.546298,19.82039
"IND",1959,77.22,28.57,7.462916,-1.977578,-2.7285,22.09381
"IRL",1959,-6.26,53.34,9.772609,-1.588831,-3.245052,20.03436
"ISR",1959,34.86,31.92,9.913116,-1.225761,-2.675468,19.80653
"ITA",1959,12.52,41.88,9.772894,-1.21473,-2.929236,22.439
"JPN",1959,139.81,35.68,9.254923,-1.615418,-2.815995,21.92055
"KEN",1959,36.83,-1.17,7.785767,-1.814952,-2.53621,19.78933
"LKA",1959,80.09,7.02,7.345839,-1.158462,-2.566218,20.71032
"MAR",1959,-6.75,33.92,7.755303,-1.703606,-2.56492,20.23681
"MEX",1959,-99.13,19.43,9.800918,-1.552859,-2.596005,21.60469
"MUS",1959,59.57,-20.1,8.958208,-1.153237,-2.652775,18.60682
"NGA",1959,3.3,6.45,8.230095,-2.203759,-2.570116,21.24148
"NIC",1959,-86.27,12.15,9.058395,-1.746127,-2.588309,18.57424
"NLD",1959,4.89,52.37,10.3989,-1.594826,-3.005551,22.30481
"NOR",1959,10.72,59.93,10.29942,-1.136805,-3.030163,21.31769
"NZL",1959,175.14,-41.21,10.42868,-1.697398,-2.705928,20.34497
"PAK",1959,73.06,33.72,7.619045,-2.272552,-2.775607,20.75787
"PAN",1959,-79.4,8.95,8.647032,-1.417188,-2.635148,19.65351
"PER",1959,-76.82,-12.07,9.073074,-1.045272,-2.636899,20.7811
"PHL",1959,121.17,14.55,8.294236,-1.592336,-2.692436,21.13591
"PRT",1959,-9.13,38.73,9.212821,-1.707526,-2.82681,20.42647
"PRY",1959,-57.67,-25.22,8.440078,-2.34181,-2.697346,18.72478
"SLV",1959,-89.2,13.7,9.251904,-2.486569,-2.625971,19.40077
"SWE",1959,18.08,59.24,10.26577,-1.547561,-2.721463,21.64935
"THA",1959,100.55,13.75,7.511264,-1.547933,-2.610405,20.7511
"TTO",1959,-61.49,10.64,10.01881,-1.060903,-2.568672,19.37884
"TUR",1959,32.85,39.93,8.81236,-2.260098,-2.747318,20.42467
"UGA",1959,32.58,.32,7.290904,-2.782533,-2.555116,18.68323
"URY",1959,-56.17,-34.92,9.280688,-1.560599,-2.786883,19.12897
"USA",1959,-76.95,38.89,10.56618,-1.786209,-2.814322,23.68435
"VEN",1959,-66.9,10.5,10.14287,-1.049159,-2.48953,21.78705
"ZAF",1959,28.22,-25.73,9.519095,-1.693571,-2.660507,21.99181
"ZAR",1959,15.47,-4.39,7.423001,-1.494942,-2.636334,18.14633
"ARG",1960,-58.41,-34.67,9.593766,-1.398536,-2.794931,21.35827
"AUS",1960,149.04,-35.35,10.52373,-1.065591,-2.56488,21.63267
"AUT",1960,16.32,48.2,10.0292,-1.417679,-2.98934,21.44173
"BEL",1960,4.37,50.84,10.13601,-1.391565,-2.791438,22.32748
"BOL",1960,-68.15,-16.5,8.805711,-2.013846,-2.701188,19.82749
"BRA",1960,-47.9,-15.79,8.915754,-1.384317,-2.573269,21.52845
"CAN",1960,-75.65,45.37,10.4715,-1.744124,-2.571684,22.63883
"CHE",1960,7.45,46.95,10.62546,-1.360915,-2.470142,22.06768
"CHL",1960,-70.65,-33.48,9.320704,-1.055031,-2.702764,20.36787
"COL",1960,-74.08,4.63,9.227428,-1.65403,-2.648249,20.60673
"CRI",1960,-84.08,9.93,9.682831,-2.000777,-2.562538,18.96887
"DNK",1960,12.55,55.72,10.14002,-1.615664,-2.739297,21.15703
"DOM",1960,-69.91,18.5,8.94959,-2.36964,-2.65065,19.89742
"ECU",1960,-78.52,-.23,8.812579,-1.006088,-2.624,19.81765
"EGY",1960,31.25,30.08,8.000533,-2.530184,-2.723626,21.46252
"ESP",1960,-3.69,40.44,9.668424,-1.641686,-2.911307,21.14626
"ETH",1960,38,9.03,6.716347,-1.871359,-2.597787,18.96382
"FIN",1960,24.98,60.2,9.833382,-1.111262,-2.633593,20.81332
"FRA",1960,2.43,48.88,10.06212,-1.507739,-2.977668,22.59137
"GBR",1960,-.18,51.49,10.08358,-1.822798,-2.755961,23.26473
"GRC",1960,23.65,38.12,9.465199,-1.481113,-2.914956,20.29999
"GTM",1960,-90.52,14.62,9.026523,-1.78063,-2.574658,20.38293
"HND",1960,-87.2,14.1,8.829469,-1.922,-2.550509,19.80089
"IND",1960,77.22,28.57,7.526224,-1.722215,-2.773681,22.12252
"IRL",1960,-6.26,53.34,9.815193,-1.677857,-3.204286,20.11147
"ISR",1960,34.86,31.92,9.957532,-1.238026,-2.670952,19.98068
"ITA",1960,12.52,41.88,9.874374,-1.154456,-3.364124,22.55712
"JPN",1960,139.81,35.68,9.356055,-1.475181,-2.639911,22.10994
"KEN",1960,36.83,-1.17,7.835182,-1.860518,-2.500593,19.90237
"LKA",1960,80.09,7.02,7.38147,-1.224828,-2.545752,20.72508
"MAR",1960,-6.75,33.92,7.758631,-1.422818,-2.59994,20.42235
"MEX",1960,-99.13,19.43,9.861072,-1.523762,-2.585363,21.62871
"MUS",1960,59.57,-20.1,8.921493,-.6447519,-2.662951,18.49596
"NGA",1960,3.3,6.45,8.400221,-2.401987,-2.566339,21.34142
"NIC",1960,-86.27,12.15,9.076459,-1.870315,-2.589898,18.50606
"NLD",1960,4.89,52.37,10.48324,-1.477344,-2.784882,22.44798
"NOR",1960,10.72,59.93,10.33572,-1.160304,-2.919317,21.41142
"NZL",1960,175.14,-41.21,10.5637,-1.793547,-2.722932,20.53509
"PAK",1960,73.06,33.72,7.617908,-1.775102,-2.839589,20.75916
"PAN",1960,-79.4,8.95,8.817482,-1.700911,-2.627915,19.77102
"PER",1960,-76.82,-12.07,9.185495,-.9120984,-2.624364,20.97965
"PHL",1960,121.17,14.55,8.303758,-1.698007,-2.712109,21.26242
"PRT",1960,-9.13,38.73,9.282333,-1.527519,-2.82072,20.51448
"PRY",1960,-57.67,-25.22,8.452037,-2.192368,-2.68355,18.86316
"SLV",1960,-89.2,13.7,9.282691,-1.876907,-2.618504,19.50105
"SWE",1960,18.08,59.24,10.28322,-1.442516,-2.710081,21.7851
"THA",1960,100.55,13.75,7.602278,-1.549772,-2.582691,20.79831
"TTO",1960,-61.49,10.64,10.09139,-1.07736,-2.662023,19.49053
"TUR",1960,32.85,39.93,8.776178,-2.255989,-2.603926,20.36793
"UGA",1960,32.58,.32,7.269378,-2.768335,-2.585829,18.67882
"URY",1960,-56.17,-34.92,9.321098,-1.492075,-2.777845,19.27932
"USA",1960,-76.95,38.89,10.56911,-1.808364,-2.672741,23.77149
"VEN",1960,-66.9,10.5,10.06726,-1.376693,-2.503837,21.69955
"ZAF",1960,28.22,-25.73,9.560321,-1.601763,-2.665761,22.09596
"ZAR",1960,15.47,-4.39,7.41182,-1.932086,-2.631173,18.3209
"ARG",1961,-58.41,-34.67,9.614491,-1.341788,-2.729177,21.41581
"AUS",1961,149.04,-35.35,10.49831,-1.202056,-2.701972,21.63177
"AUT",1961,16.32,48.2,10.07958,-1.415435,-2.956958,21.48285
"BEL",1961,4.37,50.84,10.18781,-1.309772,-2.954508,22.40623
"BOL",1961,-68.15,-16.5,8.819763,-2.258255,-2.696557,19.85605
"BRA",1961,-47.9,-15.79,9.01534,-1.427982,-2.487076,21.5235
"CAN",1961,-75.65,45.37,10.48309,-1.770397,-2.699973,22.67427
"CHE",1961,7.45,46.95,10.65444,-1.280562,-2.256602,22.17798
"CHL",1961,-70.65,-33.48,9.337807,-1.144086,-2.695186,20.45388
"COL",1961,-74.08,4.63,9.262255,-1.619905,-2.557901,20.59214
"CRI",1961,-84.08,9.93,9.648075,-1.934866,-2.421613,18.94785
"DNK",1961,12.55,55.72,10.18867,-1.633652,-2.751273,21.19966
"DOM",1961,-69.91,18.5,8.887025,-2.649631,-2.368142,19.80107
"ECU",1961,-78.52,-.23,8.805898,-.9988008,-2.587184,19.85869
"EGY",1961,31.25,30.08,8.013027,-2.388975,-2.608591,21.47412
"ESP",1961,-3.69,40.44,9.799014,-1.508856,-3.132333,21.3144
"ETH",1961,38,9.03,6.740353,-1.846018,-2.696194,19.05931
"FIN",1961,24.98,60.2,9.897781,-1.092211,-2.815908,20.87849
"FRA",1961,2.43,48.88,10.11033,-1.527123,-2.999289,22.65276
"GBR",1961,-.18,51.49,10.09387,-1.818214,-2.81994,23.27699
"GRC",1961,23.65,38.12,9.591077,-1.272114,-2.828381,20.40833
"GTM",1961,-90.52,14.62,9.047342,-1.954489,-2.482242,20.34536
"HND",1961,-87.2,14.1,8.816806,-2.042564,-2.520745,19.81731
"IND",1961,77.22,28.57,7.543686,-1.763662,-2.711459,22.09379
"IRL",1961,-6.26,53.34,9.86448,-1.589437,-2.9331,20.25246
"ISR",1961,34.86,31.92,10.03895,-1.179328,-2.432147,20.17694
"ITA",1961,12.52,41.88,9.952585,-1.124473,-2.947322,22.68978
"JPN",1961,139.81,35.68,9.463282,-1.347427,-2.795461,22.28157
"KEN",1961,36.83,-1.17,7.782026,-2.27005,-2.572452,19.95464
"LKA",1961,80.09,7.02,7.456847,-1.215384,-2.557438,20.67118
"MAR",1961,-6.75,33.92,7.94508,-1.70689,-2.722946,20.40693
"MEX",1961,-99.13,19.43,9.857836,-1.510135,-2.513935,21.6554
"MUS",1961,59.57,-20.1,8.956937,-.9546005,-2.532882,18.70617
"NGA",1961,3.3,6.45,8.351753,-2.235121,-2.581513,21.43139
"NIC",1961,-86.27,12.15,9.112494,-1.849186,-2.500475,18.53695
"NLD",1961,4.89,52.37,10.48135,-1.446213,-2.806987,22.49004
"NOR",1961,10.72,59.93,10.39052,-1.108143,-2.85002,21.49332
"NZL",1961,175.14,-41.21,10.5879,-1.749507,-2.573712,20.58221
"PAK",1961,73.06,33.72,7.672383,-1.377271,-2.618831,20.7972
"PAN",1961,-79.4,8.95,8.898546,-1.570972,-2.525508,19.89866
"PER",1961,-76.82,-12.07,9.238524,-.9808412,-2.621745,21.15685
"PHL",1961,121.17,14.55,8.333192,-1.604573,-2.519673,21.28796
"PRT",1961,-9.13,38.73,9.351701,-1.414556,-3.004725,20.62487
"PRY",1961,-57.67,-25.22,8.494085,-2.211706,-2.581542,19.01847
"SLV",1961,-89.2,13.7,9.266354,-2.011881,-2.469537,19.46281
"SWE",1961,18.08,59.24,10.32827,-1.455645,-2.86389,21.80772
"THA",1961,100.55,13.75,7.626652,-1.555908,-2.544003,20.90392
"TTO",1961,-61.49,10.64,10.16138,-1.287324,-2.607895,19.70564
"TUR",1961,32.85,39.93,8.804457,-2.247804,-2.766848,20.75652
"UGA",1961,32.58,.32,7.238627,-2.602316,-2.578988,18.7373
"URY",1961,-56.17,-34.92,9.33077,-1.426847,-2.805989,19.31947
"USA",1961,-76.95,38.89,10.57939,-1.838121,-2.777509,23.77383
"VEN",1961,-66.9,10.5,10.07758,-1.446109,-2.480176,21.74109
"ZAF",1961,28.22,-25.73,9.59967,-1.667261,-2.616272,22.10037
"ZAR",1961,15.47,-4.39,7.284633,-2.009317,-2.673858,18.27652
"ARG",1962,-58.41,-34.67,9.606865,-1.441987,-2.734172,21.56622
"AUS",1962,149.04,-35.35,10.54213,-1.12525,-2.622699,21.69003
"AUT",1962,16.32,48.2,10.10506,-1.481904,-3.056933,21.55194
"BEL",1962,4.37,50.84,10.22754,-1.321884,-2.770293,22.49342
"BOL",1962,-68.15,-16.5,8.833394,-1.728378,-2.694383,19.97515
"BRA",1962,-47.9,-15.79,9.033928,-1.432768,-2.486445,21.48823
"CAN",1962,-75.65,45.37,10.5338,-1.745873,-2.736525,22.70797
"CHE",1962,7.45,46.95,10.6642,-1.287814,-2.399057,22.2513
"CHL",1962,-70.65,-33.48,9.375173,-.9738704,-2.704847,20.42211
"COL",1962,-74.08,4.63,9.282884,-1.736915,-2.563583,20.64743
"CRI",1962,-84.08,9.93,9.682442,-1.902853,-2.437857,19.02823
"DNK",1962,12.55,55.72,10.23447,-1.58763,-2.735906,21.28366
"DOM",1962,-69.91,18.5,9.023733,-2.280994,-2.368737,20.16873
"ECU",1962,-78.52,-.23,8.806791,-1.080384,-2.583269,19.9308
"EGY",1962,31.25,30.08,8.010146,-2.265323,-2.629952,21.60177
"ESP",1962,-3.69,40.44,9.896588,-1.410393,-2.880656,21.50725
"ETH",1962,38,9.03,6.759001,-1.805389,-2.692202,19.2984
"FIN",1962,24.98,60.2,9.917587,-1.136954,-2.889203,20.93926
"FRA",1962,2.43,48.88,10.17664,-1.505736,-2.920268,22.69196
"GBR",1962,-.18,51.49,10.09626,-1.879381,-2.782494,23.29589
"GRC",1962,23.65,38.12,9.615515,-1.351811,-3.699358,20.45133
"GTM",1962,-90.52,14.62,9.033132,-1.952581,-2.485233,20.40525
"HND",1962,-87.2,14.1,8.825031,-1.804678,-2.508049,19.87961
"IND",1962,77.22,28.57,7.565771,-1.696996,-2.705788,22.19507
"IRL",1962,-6.26,53.34,9.911819,-1.504903,-3.125526,20.27874
"ISR",1962,34.86,31.92,10.09253,-1.179667,-2.35482,20.31126
"ITA",1962,12.52,41.88,10.02725,-1.112451,-3.284137,22.81034
"JPN",1962,139.81,35.68,9.536797,-1.365726,-2.792225,22.32769
"KEN",1962,36.83,-1.17,7.836964,-2.429584,-2.567396,20.00514
"LKA",1962,80.09,7.02,7.438955,-1.252466,-2.57024,20.76105
"MAR",1962,-6.75,33.92,8.117853,-1.542266,-2.724928,20.42463
"MEX",1962,-99.13,19.43,9.863966,-1.554476,-2.518149,21.6905
"MUS",1962,59.57,-20.1,8.955554,-1.064476,-2.511224,18.68925
"NGA",1962,3.3,6.45,8.361839,-2.320911,-2.581227,21.42913
"NIC",1962,-86.27,12.15,9.19871,-1.713431,-2.499639,18.75912
"NLD",1962,4.89,52.37,10.52639,-1.510558,-2.657125,22.55156
"NOR",1962,10.72,59.93,10.41188,-1.145165,-2.855042,21.55028
"NZL",1962,175.14,-41.21,10.59165,-1.834734,-2.685841,20.57467
"PAK",1962,73.06,33.72,7.691102,-1.322133,-2.617799,20.81515
"PAN",1962,-79.4,8.95,8.96934,-1.550034,-2.525481,20.06408
"PER",1962,-76.82,-12.07,9.310639,-1.023871,-2.616602,21.24796
"PHL",1962,121.17,14.55,8.350927,-1.662364,-2.517123,21.35922
"PRT",1962,-9.13,38.73,9.399615,-1.543297,-3.039918,20.65405
"PRY",1962,-57.67,-25.22,8.459648,-2.442432,-2.581544,18.68648
"SLV",1962,-89.2,13.7,9.332503,-2.088965,-2.483435,19.62722
"SWE",1962,18.08,59.24,10.36264,-1.462955,-2.874347,21.87285
"THA",1962,100.55,13.75,7.670695,-1.373737,-2.545506,21.01012
"TTO",1962,-61.49,10.64,10.16874,-1.202093,-2.526464,19.72552
"TUR",1962,32.85,39.93,8.847005,-2.23737,-2.791898,20.94621
"UGA",1962,32.58,.32,7.289081,-2.618083,-2.576402,18.78941
"URY",1962,-56.17,-34.92,9.307643,-1.530215,-2.796988,19.34797
