countryisocode,year,xlong,ylat,lny,lns,lnngd,ltrade
"JPN",1951,139.81,35.68,8.813034,-1.616338,-2.611208,20.99467
"KEN",1951,36.83,-1.17,7.920497,-1.881132,-2.576759,19.47302
"LKA",1951,80.09,7.02,7.439077,-1.289761,-2.532435,20.37939
"MAR",1951,-6.75,33.92,7.856293,-.7943903,-2.548159,20.23418
"MEX",1951,-99.13,19.43,9.55417,-1.6587,-2.653155,21.30705
"MUS",1951,59.57,-20.1,9.081236,-1.344524,-2.543561,18.28594
"NGA",1951,3.3,6.45,8.102883,-2.571816,-2.638656,20.4991
"NIC",1951,-86.27,12.15,8.852907,-1.927769,-2.600976,17.80594
"NLD",1951,4.89,52.37,10.09964,-1.601495,-2.92074,21.65025
"NOR",1951,10.72,59.93,10.00886,-1.148336,-2.976027,20.89999
"NZL",1951,175.14,-41.21,10.30932,-1.644756,-2.682942,20.21628
"PAK",1951,73.06,33.72,7.486273,-2.807165,-2.812893,20.61217
"PAN",1951,-79.4,8.95,8.517205,-1.958522,-2.676142,19.27721
"PER",1951,-76.82,-12.07,9.003263,-.7415819,-2.659882,20.35352
"PHL",1951,121.17,14.55,7.827038,-1.680642,-2.714308,21.03925
"PRT",1951,-9.13,38.73,8.901331,-1.878174,-3.005099,20.06545
"PRY",1951,-57.67,-25.22,8.350107,-2.66093,-2.995732,18.46009
"SLV",1951,-89.2,13.7,9.057056,-2.224882,-2.690335,18.98536
"SWE",1951,18.08,59.24,10.08422,-1.536505,-2.995732,21.28352
"THA",1951,100.55,13.75,7.516535,-2.014144,-2.596201,20.22296
"TTO",1951,-61.49,10.64,9.474944,-1.165951,-2.692454,18.71577
"TUR",1951,32.85,39.93,8.501265,-2.829087,-2.747358,20.1382
"UGA",1951,32.58,.32,7.34397,-2.834197,-2.58764,18.24725
"URY",1951,-56.17,-34.92,9.349442,-1.167477,-2.801481,19.41921
"USA",1951,-76.95,38.89,10.43382,-1.691133,-2.837285,23.32487
"VEN",1951,-66.9,10.5,9.823116,-1.016791,-2.478236,21.20953
"ZAF",1951,28.22,-25.73,9.343793,-1.408436,-2.67202,21.69894
"ZAR",1951,15.47,-4.39,7.310293,-1.237803,-2.668061,17.68452
"ARG",1952,-58.41,-34.67,9.366621,-1.625161,-2.730273,20.8666
"AUS",1952,149.04,-35.35,10.22419,-1.345351,-2.682555,21.06278
"AUT",1952,16.32,48.2,9.538642,-1.659451,-3.104472,20.38276
"BEL",1952,4.37,50.84,9.904092,-1.493581,-2.987743,21.7396
"BOL",1952,-68.15,-16.5,8.977183,-2.114282,-2.720304,19.87399
"BRA",1952,-47.9,-15.79,8.598542,-1.207322,-2.590085,21.27555
"CAN",1952,-75.65,45.37,10.39469,-1.709975,-2.584007,22.39188
"CHE",1952,7.45,46.95,10.34166,-1.720103,-2.707424,21.45979
"CHL",1952,-70.65,-33.48,9.138956,-1.192657,-2.758716,19.99418
"COL",1952,-74.08,4.63,9.046005,-1.680123,-2.6532,20.30367
"CRI",1952,-84.08,9.93,9.315496,-1.864455,-2.611193,18.50559
"DNK",1952,12.55,55.72,9.839211,-2.035628,-2.979251,20.50271
"DOM",1952,-69.91,18.5,8.645039,-1.636602,-2.700012,19.72096
"ECU",1952,-78.52,-.23,8.574297,-1.3474,-2.64708,19.20518
